LISTA DE PRECIOS 2026,,,,,,,,,,,,,,,,,,,,
 Vigencia a partir de febrero ,,,,,,,,,,,,,,,,,,,,
,EQUINOTERAPIA,,,,,,,,,,,,,,,,,,,
,,"HORARIOS ""A""",,,,,"HORARIOS ""B""",,,,,"HORARIOS ""C""",,,,,,,,
,,10 AM  -  4-5 Y 6 PM,,,,,9 Y 11 AM   ,,,,,8 AM  12-1 -2-3 Y 7 PM,,,,,,,,
,MONTA TERAPEUTICA,,,,,,,,,,,,,,,,,,,
,1 VEZ POR SEMANA," $4,455 ",MES," 1,113.75 ",,," $4,010 ",MES," 1,002.38 ",,," $3,605 ",MES, 901.25 ,,,,,,
,2 VECES POR SEMANA," $6,225 ",MES, 778.13 ,70%,," $5,600 ",MES, 700.00 ,70%,," $5,040 ",MES, 630.00 ,70%,,,,,
,3 VECES POR SEMANA," $8,875 ",MES, 739.58 ,66%,," $7,985 ",MES, 665.42 ,66%,," $7,185 ",MES, 598.75 ,66%,,,,,
,,,,,,,,,,,,,,,,,,,,
,CONOCIENDO A MI CABALLO,,,,,,,,,,,,,,,,,,,
,ESTIMULACIÓN TEMPRANA C/ CABALLOS,,,,,,,,,,,,,,,,,,,
,1 VEZ POR SEMANA," $3,300 ",MES, 825.00 ,,," $2,970 ",MES, 742.50 ,,," $2,670 ",MES, 667.50 ,,,,,,
,2 VECES POR SEMANA," $5,025 ",MES, 628.13 ,76%,," $4,520 ",MES, 565.00 ,76%,," $4,065 ",MES, 508.13 ,76%,,,,,
,3 VECES POR SEMANA," $6,765 ",MES, 563.75 ,68%,," $6,085 ",MES, 507.08 ,68%,," $5,475 ",MES, 456.25 ,68%,,,,,
,,,,,,,,,,,,,,,,,,,,
"INSCRIPCIÓN $1,700.00",EQUITACION,,,,,,,,,,,,,,,,PARA 2026 SE MANTIENEN PRECIOS DE 2025,,,
,1 VEZ POR SEMANA," $3,470 ",MES, 867.50 ,,," $3,130 ",MES, 782.50 ,,," $2,810 ",MES,,,,,,,
,2 VECES POR SEMANA," $5,050 ",MES, 631.25 ,73%,," $4,540 ",MES, 567.50 ,73%,," $4,090 ",MES," 1,022.50 ",,,,,,
,3 VECES POR SEMANA," $6,630 ",MES, 552.50 ,64%,," $5,970 ",MES, 497.50 ,64%,," $5,370 ",MES, 671.25 ,66%,,,,,
,,,,,,,,,,,,,, -   ,0%,,,,,
,VAULTING,,,,,,,,,,,,,,,,,,,
,1 VEZ POR SEMANA," $3,495 ",MES, 873.75 ,,," $3,145 ",MES, 786.25 ,,," $2,830 ",MES, 707.50 ,,,,,,
,2 VECES POR SEMANA," $4,720 ",MES, 590.00 ,68%,," $4,245 ",MES, 530.63 ,67%,," $3,820 ",MES, 477.50 ,67%,,,,,
,,,,,,,,,,,,,,,,,,,,
,PSICOTERAPIA ASISTIDA ,,,,,,,,,,,,,,,,,,,
,INDIVIDUAL 1 VEZ POR SEMANA," $3,530 ",MES,,,," $3,175 ",MES,,,," $2,855 ",MES,,,,,,,
,FAMILIAR 1 VEZ POR SEMANA," $4,200 ",MES,,,," $3,780 ",MES,,,," $3,400 ",MES,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,PENSIÓN," $10,930 ",,,,,,,,,,,,,,,,,,
,"CAMA DE CABALLO, CABALLERANGO, HERRAJE BÁSICO, ALIMENTO (ALFALFA)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,COGNICION Y LOGOFONIATRÍA,,,,,,,,,,,,,,,,PARA 2026 SE MANTIENEN PRECIOS DE 2025,,,
,,"HORARIOS ""A""",,,,,"HORARIOS ""B""",,,,,"HORARIOS ""C""",,,,,"""Con base en la cartera vigente a enero de 2026 y la frecuencia de servicio por cliente , se ha implementado un ajuste para aplicar un porcentaje de descuento en el margen de todas las áreas, para mantener homolgados la aplicación de precios por frecuencia y horario de 2 y 3vxs",,,
,,10-11 AM   12-4-5-6 PM,,,,,9 AM     1-2-3 PM,,,,,8 AM   7 PM,,,,,,,,
,COGNICION Y COMUNICACIÓN,,,,,,,,,,,,,,,,,,,
,1 VEZ POR SEMANA," $3,550 ",MES, 887.50 ,,," $3,200 ",MES, 800.00 ,,," $2,880 ",MES, 720.00 ,,,,,,
,2 VECES POR SEMANA," $5,320 ",MES, 665.00 ,75%,," $4,785 ",MES, 598.13 ,75%,," $4,305 ",MES, 538.13 ,75%,,,,,
,3 VECES POR SEMANA," $7,200 ",MES, 600.00 ,68%,," $6,480 ",MES, 540.00 ,68%,," $5,830 ",MES, 485.83 ,67%,,,,,
,,,,,,,,,,,,,,,,,,,,
,NEUROFEEDBACK/EDUFEED.,,,,,,,,,,,,,,,,,,,
,1 VEZ POR SEMANA," $3,550 ",MES, 887.50 ,,," $3,200 ",MES, 800.00 ,,," $2,880 ",MES, 720.00 ,,,,,,
,2 VECES POR SEMANA," $5,320 ",MES, 665.00 ,75%,," $4,785 ",MES, 598.13 ,75%,," $4,305 ",MES, 538.13 ,75%,,,,,
,3 VECES POR SEMANA," $7,200 ",MES, 600.00 ,68%,," $6,480 ",MES, 540.00 ,68%,," $5,830 ",MES, 485.83 ,67%,,,,,
,,,,,,,,,,,,,,,,,,,,
,LOGOFONIATRIA,,,,,,,,,,,,,,,,,,,
,1 VEZ POR SEMANA," $3,550 ",MES, 887.50 ,,," $3,200 ",MES, 800.00 ,,," $2,880 ",MES, 720.00 ,,,,,,
,2 VECES POR SEMANA," $5,320 ",MES, 665.00 ,75%,," $4,785 ",MES, 598.13 ,75%,," $4,305 ",MES, 538.13 ,75%,,,,,
,3 VECES POR SEMANA," $7,200 ",MES, 600.00 ,68%,," $6,480 ",MES, 540.00 ,68%,," $5,830 ",MES, 485.83 ,67%,,,,,
,,,,,,,,,,,,,,,,,,,,
,ESTIMULACIÓN MAGNETICA TRANSCRANEAL,,,,,,,,,,,,,,,,PARA 2026 SE MANTIENEN PRECIOS DE 2025,,,
,TRATAMIENTO 20 SESIONES," $34,800 ",MES,,,,,,,,,,,,,,,,,
,LISTA DE PRECIOS 2026,,,,,,,,,,,,,,,,,,,
, Vigencia a partir de febrero ,,,,,,,,,,,,,,,,,,,
,PSICOLOGÍA,,,,,,,,,,,,,,,,,,,
,,"HORARIOS ""A""",,,,,"HORARIOS ""B""",,,,,"HORARIOS ""C""",,,,,"""Con base en la cartera vigente a enero de 2026 y la frecuencia de servicio por cliente , se ha implementado un ajuste para aplicar un porcentaje de descuento en el margen de todas las áreas, para mantener homolgados la aplicación de precios por frecuencia y horario de 2 a 3vxs",,,
,,  12-1-4-5-6-7 PM,,,,,     2-3 PM,,,,,8-9-10-11  AM   7 PM,,,,,,,,
,PSICOLOGÍA,,,,,,,,,,,,,,,,,,,
